DEPTH,CALS,DEVI,DRHO,FC13,FC24,FCAL,TENS,HTEN,MRES,MTEM,NPHI,LLD,LLS,SPED,PEF,MSFL,SP,GR,RHOB,DT
1724.3888,12.4882,40.4806,-0.01466724,12.1652,12.2117,12.1884,3301.504,1491.648,0.048833101,61.475,0.318,-3,2.222445936,674.254,4.698056278,-1,51.2601,16.7514,2.449075612,55.7537
1724.5412,12.4882,40.4788,-0.01466724,12.1707,12.2169,12.1938,3294.253,1480.206,0.048833101,61.4786,0.3378,-3,2.222445936,677.4202,4.698056278,-1,51.2476,16.5726,2.449075612,55.9437
1724.6936,12.4882,40.4731,-0.01466724,12.1778,12.2226,12.2002,3286.733,1472.942,0.048833101,61.4778,0.3441,-3,2.222445936,677.8298,4.698056278,-1,51.1977,16.2238,2.449075612,55.6598
1724.846,12.4882,40.4698,-0.01466724,12.178,12.2243,12.2011,3286.68,1477.727,0.048833101,61.4816,0.3389,-3,2.222445936,686.9186,4.698056278,-1,50.9605,16.1475,2.449075612,55.4756
1724.9984,12.4882,40.4649,-0.01466724,12.1759,12.2235,12.1997,3295.059,1472.117,0.048833101,61.4635,0.3428,-3,2.222445936,688.2027,4.698056278,-1,50.6858,15.6111,2.449075612,55.1849
1725.1508,12.4882,40.4637,-0.01466724,12.1734,12.2188,12.1961,3295.059,1477,0.048833101,61.4918,0.3273,-3,2.222445936,686.7532,4.698056278,-1,50.3612,16.1344,2.449075612,55.4087
1725.3032,12.4882,40.4644,-0.01466724,12.1665,12.2092,12.1879,3279.751,1464.524,0.048833101,61.5329,0.3246,-3,2.222445936,686.7532,4.698056278,-1,50.0616,14.9723,2.449075612,55.4288
1725.4556,12.4882,40.4629,-0.01466724,12.162,12.2014,12.1817,3265.786,1455.242,0.048833101,61.5507,0.3109,-3,2.222445936,692.055,4.698056278,-1,49.7744,15.386,2.449075612,55.5
1725.608,12.4882,40.4575,-0.01466724,12.1651,12.209,12.187,3282.705,1454.973,0.048833101,61.5663,0.3234,-3,2.222445936,691.5485,4.698056278,-1,49.3999,14.8627,2.449075612,55.6201
1725.7604,12.4882,40.4471,-0.01466724,12.1718,12.2165,12.1942,3302.847,1473.972,0.048833101,61.5992,0.2939,-3,2.222445936,689.6725,4.698056278,-1,48.888,14.4043,2.449075612,55.5556
1725.9128,12.4882,40.4442,-0.01466724,12.1749,12.2195,12.1972,3308.755,1491.492,0.048833101,61.5892,0.311,-3,2.222445936,690.0291,4.698056278,-1,48.4761,14.1113,2.449075612,55.6448
1726.0652,12.4882,40.447,-0.01466724,12.1754,12.2127,12.1941,3310.366,1491.67,0.048833101,61.5829,0.3317,-3,2.222445936,690.0291,4.698056278,-1,47.9517,15.0053,2.449075612,55.8313
1726.2176,12.4882,40.4445,-0.01466724,12.1716,12.2064,12.189,3295.327,1487.602,0.048833101,61.5851,0.3345,-3,2.222445936,693.1884,4.698056278,-1,47.5023,14.7302,2.449075612,55.5967
1726.37,12.4882,40.4384,-0.01466724,12.1766,12.2055,12.1911,3275.454,1474.902,0.048833101,61.5928,0.3268,-3,2.222445936,700.2429,4.698056278,-1,47.2151,16.2237,2.449075612,55.6525
1726.5224,12.4882,40.4339,-0.01466724,12.1844,12.2054,12.1949,3269.277,1456.415,0.048833101,61.5976,0.3219,-3,2.222445936,693.5222,4.698056278,-1,47.0029,16.7738,2.449075612,55.9125
1726.6748,12.4882,40.4263,-0.01466724,12.1977,12.2077,12.2027,3278.408,1454.029,0.048833101,61.5971,0.343,-3,2.222445936,693.5222,4.698056278,-1,46.6534,17.0581,2.449075612,55.8729
1726.8272,12.4882,40.4207,-0.01466724,12.1993,12.2026,12.201,3297.744,1465.793,0.048833101,61.5823,0.3285,-3,2.222445936,684.8303,4.698056278,-1,46.4661,17.3262,2.449075612,55.8205
1726.9796,12.4882,40.417,-0.01466724,12.2005,12.1998,12.2001,3303.921,1487.096,0.048833101,61.5886,0.324,-3,2.222445936,682.5042,4.698056278,-1,46.3912,17.5096,2.449075612,55.8188
1727.132,12.4882,40.4121,-0.01466724,12.1975,12.1985,12.198,3290.225,1490.562,0.048833101,61.5717,0.3109,-3,2.222445936,677.0427,4.698056278,-1,46.4286,17.7044,2.449075612,55.5461
1727.2844,12.4882,40.4018,-0.01466724,12.1919,12.205,12.1985,3282.974,1476.203,0.048833101,61.56,0.3371,-3,2.222445936,675.5259,4.698056278,-1,46.6534,17.434,2.449075612,55.3462
1727.4368,12.4882,40.3918,-0.01466724,12.1792,12.205,12.1921,3281.362,1469.902,0.048833101,61.5443,0.3303,-3,2.222445936,675.5259,4.698056278,-1,47.0403,17.8832,2.449075612,55.5973
1727.5892,12.4882,40.3896,-0.01466724,12.1702,12.2097,12.19,3283.511,1467.029,0.048833101,61.5313,0.3268,-3,2.222445936,678.9464,4.698056278,-1,47.4024,17.5344,2.449075612,55.7338
1727.7416,12.4882,40.3877,-0.01466724,12.1702,12.2102,12.1902,3285.122,1465.868,0.048833101,61.5038,0.3109,-3,2.222445936,680.1193,4.698056278,-1,47.727,17.9057,2.449075612,55.6987
1727.894,12.4882,40.3808,-0.01466724,12.1758,12.2191,12.1975,3289.688,1468.172,0.048833101,61.5041,0.3075,-3,2.222445936,680.0638,4.698056278,-1,48.114,17.4427,2.449075612,55.6752
1728.0464,12.4882,40.3735,-0.01466724,12.1767,12.2171,12.1969,3286.733,1478.81,0.048833101,61.5119,0.3034,-3,2.222445936,674.4941,4.698056278,-1,48.501,17.163,2.449075612,55.8
1728.1988,12.4882,40.363,-0.01466724,12.1756,12.2126,12.1941,3281.631,1479.124,0.048833101,61.5161,0.3104,-3,2.222445936,674.4941,4.698056278,-1,48.8881,15.5517,2.449075612,55.5962
1728.3512,12.4882,40.3548,-0.01466724,12.173,12.2023,12.1876,3288.613,1470.203,0.048833101,61.5296,0.3276,-3,2.222445936,679.8973,4.698056278,-1,49.325,14.9172,2.449075612,55.7116
1728.5036,12.4882,40.3491,-0.01466724,12.1758,12.2015,12.1886,3296.67,1473.05,0.048833101,61.559,0.3336,-3,2.222445936,676.073,4.698056278,-1,49.6871,13.7207,2.449075612,55.5976
1728.656,12.4882,40.3446,-0.01466724,12.178,12.2079,12.193,3299.087,1478.647,0.048833101,61.5613,0.3567,-3,2.222445936,677.8188,4.698056278,-1,49.7994,12.9918,2.449075612,55.6
1728.8084,12.4882,40.342,-0.01466724,12.1705,12.2155,12.193,3310.635,1474.227,0.048833101,61.5419,0.3498,-3,2.222445936,673.7442,4.698056278,-1,49.7994,12.3775,2.449075612,55.2662
